Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,17102024,1183075948,0002506
Trade Date <17-OCT-2024>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,2288,THOMASCOOK,EQ,1171262,557588,47.61
20,2289,THOMASCOTT,EQ,9325,6706,71.91
20,2290,THYROCARE,EQ,63973,35706,55.81
20,2291,TI,EQ,599072,275271,45.95
20,2292,TIIL,EQ,8968,4792,53.43
20,2293,TIINDIA,EQ,156590,109262,69.78
20,2294,TIMESCAN,SM,4000,4000,100.00
20,2295,TIMESGTY,EQ,21519,6152,28.59
20,2296,TIMETECHNO,EQ,1722548,614106,35.65
20,2297,TIMKEN,EQ,34182,14541,42.54
20,2298,TIPSFILMS,EQ,9804,4920,50.18
20,2299,TIPSMUSIC,EQ,590370,277944,47.08
20,2300,TIRUMALCHM,EQ,193751,99953,51.59
20,2301,TITAGARH,EQ,11610017,1598360,13.77
20,2302,TITAN,EQ,560796,245396,43.76
20,2303,TMB,EQ,91867,49539,53.92
20,2304,TNIDETF,EQ,26219,17183,65.54
20,2305,TNPETRO,EQ,86947,50039,57.55
20,2306,TNPL,EQ,177425,125363,70.66
20,2307,TNTELE,EQ,49371,34613,70.11
20,2308,TOKYOPLAST,EQ,9035,3692,40.86
20,2309,TOLINS,EQ,96785,50596,52.28
20,2310,TOP100CASE,EQ,495263,307763,62.14
20,2311,TOP10ADD,EQ,20365,18019,88.48
20,2312,TORNTPHARM,EQ,170971,73847,43.19
20,2313,TORNTPOWER,EQ,1086885,903752,83.15
20,2314,TOTAL,EQ,59258,42413,71.57
20,2315,TOUCHWOOD,EQ,1240,590,47.58
20,2316,TRACXN,EQ,389747,177707,45.60
20,2317,TRANSTEEL,SM,36000,26000,72.22
20,2318,TREL,EQ,264943,120743,45.57
20,2319,TRENT,EQ,997450,557271,55.87
20,2320,TRF,EQ,7943,5800,73.02
20,2321,TRIDENT,EQ,8212471,2111007,25.70
20,2322,TRIDHYA,SM,534000,117000,21.91
20,2323,TRIGYN,EQ,55842,30465,54.56
20,2324,TRITURBINE,EQ,738682,336402,45.54
20,2325,TRIVENI,EQ,220283,73981,33.58
20,2326,TROM,SM,20400,10800,52.94
20,2327,TRUST,SM,31200,26400,84.62
20,2328,TTKHLTCARE,EQ,3258,1762,54.08
20,2329,TTKPRESTIG,EQ,163333,43794,26.81
20,2330,TTL,EQ,17389,14071,80.92
20,2331,TTML,EQ,3326863,1067890,32.10
20,2332,TUNWAL,SM,134000,80000,59.70
20,2333,TVSHLTD,EQ,3063,1356,44.27
20,2334,TVSMOTOR,EQ,2812222,1296980,46.12
20,2335,TVSSCS,EQ,527197,277381,52.61
20,2336,TVSSRICHAK,EQ,2683,1532,57.10
20,2337,TVTODAY,EQ,65870,48545,73.70
20,2338,UBL,EQ,210804,129573,61.47
20,2339,UCAL,EQ,22010,10077,45.78
20,2340,UCOBANK,EQ,2817461,759791,26.97
20,2341,UDAICEMENT,EQ,241687,152460,63.08
20,2342,UDS,EQ,200201,94941,47.42
20,2343,UFLEX,EQ,368450,209417,56.84
20,2344,UFO,EQ,97748,64505,65.99
20,2345,UGARSUGAR,EQ,64848,40665,62.71
20,2346,UGROCAP,EQ,310391,125735,40.51
20,2347,UJJIVANSFB,EQ,6148523,3687562,59.97
20,2348,ULTRACEMCO,EQ,353330,232342,65.76
20,2349,UMA,SM,20000,16000,80.00
20,2350,UMESLTD,EQ,54634,33646,61.58
20,2351,UNICHEMLAB,EQ,31224,10661,34.14
20,2352,UNIDT,EQ,10271,5488,53.43
20,2353,UNIECOM,EQ,451727,197698,43.76
20,2354,UNIENTER,EQ,7561,3198,42.30
20,2355,UNIHEALTH,SM,7000,5000,71.43
20,2356,UNIINFO,EQ,44116,6403,14.51
20,2357,UNILEX,SM,12800,11200,87.50
20,2358,UNIONBANK,EQ,10159094,4905409,48.29
20,2359,UNIPARTS,EQ,31375,20356,64.88
20,2360,UNITDSPR,EQ,537173,346396,64.48
20,2361,UNITEDTEA,EQ,32773,22531,68.75
20,2362,UNIVASTU,EQ,139342,62089,44.56
20,2363,UNIVCABLES,EQ,17691,10407,58.83
20,2364,UNIVPHOTO,EQ,1853,1505,81.22
20,2365,UNOMINDA,EQ,665316,402962,60.57
20,2366,UPL,EQ,1577470,606419,38.44
20,2367,URBAN,ST,15600,14800,94.87
20,2368,URJA,EQ,2003447,1136979,56.75
20,2369,USASEEDS,SM,3600,2400,66.67
20,2370,USHAMART,EQ,1449606,511009,35.25
20,2371,UTIAMC,EQ,502365,174455,34.73
20,2372,UTIBANKETF,EQ,47956,44286,92.35
20,2373,UTINEXT50,EQ,138683,130823,94.33
20,2374,UTINIFTETF,EQ,3000355,2994188,99.79
20,2375,UTISENSETF,EQ,4132,3400,82.28
20,2376,UTISXN50,EQ,7850,7121,90.71
20,2377,UTKARSHBNK,EQ,1467552,913294,62.23
20,2378,UTSSAV,ST,84000,72000,85.71
20,2379,UTTAMSUGAR,EQ,154220,83412,54.09
20,2380,UYFINCORP,EQ,181351,121538,67.02
20,2381,VADILALIND,EQ,4466,2149,48.12
20,2382,VAIBHAVGBL,EQ,290902,165606,56.93
20,2383,VAISHALI,EQ,1496827,782788,52.30
20,2384,VAKRANGEE,EQ,11219698,5539795,49.38
20,2385,VALIANTLAB,EQ,47668,20937,43.92
20,2386,VALIANTORG,EQ,107388,59371,55.29
20,2387,VARDHACRLC,EQ,26935,15156,56.27
20,2388,VARROC,EQ,221266,92057,41.60
20,2389,VASA,SM,8000,4000,50.00
20,2390,VASCONEQ,EQ,564520,305583,54.13
20,2391,VBL,EQ,4225188,2695076,63.79
20,2392,VDEAL,SM,13200,9600,72.73
20,2393,VEDL,EQ,12114419,6507793,53.72
20,2394,VEEDOL,EQ,11515,7804,67.77
20,2395,VEEKAYEM,ST,2500,2500,100.00
20,2396,VELS,SM,1200,1200,100.00
